id,project_name,title,description,name_categories,token_name,proof_archive_link,technical_issue,token_address,token_addresses,logo_link,date,scam_updates,proof_link,website_link,webarchive_link,twitter_link,telegram_link,our_post_link,funds_lost,funds_returned,funds_by_chains,funds_recovered,active,git_hub,git_hub_contract_link,discord,bug_bounty_program_link,bug_bounty_program_company,audit_code_conf,is_verified_source_code,is_public_team,scam_type,network,scamNetworks,auditedBy
400,Fuck Thanos,Fuck Thanos,"<p>A review of the token contract shows low network activity, which didn't lead to significant funds loss for the user in the past. The project is considered abandoned.</p><p><br></p>",Token,$FTHANOS,,,0x3e3c02ab542463b9c7a990ae2b5cea40175b233d,[],safe/files/scamDatabase/logo/60e8198c25027.png,,[],"https://twitter.com/Token_Sniffer/status/1381346761566916614, https://cryptot3ddybear.gitlab.io/blog/posts/scam-explained-bsc-stealthy-lp-block/",,,,,,0,0,[],,1,,,,,,,,,"{'id': 10, 'type': 'Rugpull'}",{},"[{'networks_id': 1, 'scam_database_id': 400, 'networks': {'id': 1, 'name': 'Ethereum', 'icon_link': 'safe/files/network/ethereum.png'}}]",[]
399,SpaceX Token,SpaceX Token,"<p>The contract owner could disable the transfer function, which restricted users in selling their tokens.</p>",Token,SpaceXToken,,,0x3076e9d22d44d12950f6c1f3a33c530b2fa1d58f,[],safe/files/scamDatabase/logo/60e8193c13d70.png,2021-6-14,[],"https://twitter.com/Token_Sniffer/status/1381346761566916614, https://cryptot3ddybear.gitlab.io/blog/posts/scam-explained-bsc-stealthy-lp-block/",,,,,,0,0,[],,1,,,,,,,,,"{'id': 7, 'type': 'Honeypot'}",{},"[{'networks_id': 56, 'scam_database_id': 399, 'networks': {'id': 56, 'name': 'Binance', 'icon_link': 'safe/files/network/bsc.png'}}]",[]
397,Data Transaction Token,Data Transaction Token,"<p data-f-id=""pbf"" style=""text-align: center; font-size: 14px; margin-top: 30px; opacity: 0.65; font-family: sans-serif;"">Powered by <a href=""https://www.froala.com/wysiwyg-editor?pb=1"" title=""Froala Editor"">Froala Editor</a></p>",Token,XD,,"<p data-f-id=""pbf"" style=""text-align: center; font-size: 14px; margin-top: 30px; opacity: 0.65; font-family: sans-serif;"">Powered by <a href=""https://www.froala.com/wysiwyg-editor?pb=1"" title=""Froala Editor"">Froala Editor</a></p>",0x24dcc881e7dd730546834452f21872d5cb4b5293,[],safe/files/scamDatabase/logo/60e81858eae7e.png,,[],"https://github.com/The-Blockchain-Association/sec-notice-list,  https://www.sec.gov/spotlight/cybersecurity-enforcement-actions",,,,,,0,0,[],,1,,,,,,,,,"{'id': 10, 'type': 'Rugpull'}",{},"[{'networks_id': 1, 'scam_database_id': 397, 'networks': {'id': 1, 'name': 'Ethereum', 'icon_link': 'safe/files/network/ethereum.png'}}]",[]
396,RocketShiba,RocketShiba,"<p>The contract owner could disable the transfer function, which restricted users in selling their tokens.</p>",Token,RKS,,,0x5ac759aa97283d70cab7fd300231d103b814ea34,[],safe/files/scamDatabase/logo/60e817cb92f88.png,,[],https://twitter.com/Token_Sniffer/status/1374999601485291522,,,,,,0,0,[],,1,,,,,,,,,"{'id': 7, 'type': 'Honeypot'}",{},"[{'networks_id': 56, 'scam_database_id': 396, 'networks': {'id': 56, 'name': 'Binance', 'icon_link': 'safe/files/network/bsc.png'}}]",[]
395,Little Mouse,Little Mouse,"<p>A review of the token contract shows low network activity, which didn't lead to significant funds loss for the user in the past. The project is considered abandoned.</p><p><br></p>",Token,MOUSE,,,0xade2847d2d865f6c12861de73c372726a19654d7,[],safe/files/scamDatabase/logo/60e816ec4958e.png,,[],https://bscscan.com/token/0xade2847d2d865f6c12861de73c372726a19654d7#comments,,,,,,0,0,[],,1,,,,,,,,,"{'id': 10, 'type': 'Rugpull'}",{},"[{'networks_id': 56, 'scam_database_id': 395, 'networks': {'id': 56, 'name': 'Binance', 'icon_link': 'safe/files/network/bsc.png'}}]",[]
394,Unikoin Gold,Unikoin Gold,"<p data-f-id=""pbf"" style=""text-align: center; font-size: 14px; margin-top: 30px; opacity: 0.65; font-family: sans-serif;"">Powered by <a href=""https://www.froala.com/wysiwyg-editor?pb=1"" title=""Froala Editor"">Froala Editor</a></p>",Gaming / Metaverse,UKG,,"<p data-f-id=""pbf"" style=""text-align: center; font-size: 14px; margin-top: 30px; opacity: 0.65; font-family: sans-serif;"">Powered by <a href=""https://www.froala.com/wysiwyg-editor?pb=1"" title=""Froala Editor"">Froala Editor</a></p>",0x24692791bc444c5cd0b81e3cbcaba4b04acd1f3b,[],safe/files/scamDatabase/logo/60e8169d656d6.png,,[],"https://github.com/The-Blockchain-Association/sec-notice-list, https://www.sec.gov/spotlight/cybersecurity-enforcement-actions",,,,,,0,0,[],,1,,,,,,,,,"{'id': 10, 'type': 'Rugpull'}",{},"[{'networks_id': 1, 'scam_database_id': 394, 'networks': {'id': 1, 'name': 'Ethereum', 'icon_link': 'safe/files/network/ethereum.png'}}]",[]
393,Tierion,Tierion,,Token,TNT,,,0x08f5a9235b08173b7569f83645d2c7fb55e8ccd8,[],safe/files/scamDatabase/logo/60e81650878dc.png,,[],"https://github.com/The-Blockchain-Association/sec-notice-list, https://www.sec.gov/spotlight/cybersecurity-enforcement-actions",,,,,,0,0,[],,1,,,,,,,,,"{'id': 10, 'type': 'Rugpull'}",{},"[{'networks_id': 1, 'scam_database_id': 393, 'networks': {'id': 1, 'name': 'Ethereum', 'icon_link': 'safe/files/network/ethereum.png'}}]",[]
391,Uranus Token,Uranus Token,"<p>A review of the token contract shows low network activity, which didn't lead to significant funds loss for the user in the past. The project is considered abandoned.</p><p><br></p>",Token,URANUS,,,0x68b48e978fb4748b9d67f520db1df2e9cbd437ab,[],safe/files/scamDatabase/logo/60e81179dbf74.png,,[],https://twitter.com/Token_Sniffer/status/1374999601485291522,,,,,,0,0,[],,1,,,,,,,,,"{'id': 10, 'type': 'Rugpull'}",{},"[{'networks_id': 1, 'scam_database_id': 391, 'networks': {'id': 1, 'name': 'Ethereum', 'icon_link': 'safe/files/network/ethereum.png'}}]",[]
390,Karura,Karura,"<p>A review of the token contract shows low network activity, which didn't lead to significant funds loss for the user in the past. The project is considered abandoned.</p><p><br></p>",Exchange (DEX),KAR,,,0x74fe7ecc0a5131a4a980d6b12667184954b4c752,[],safe/files/scamDatabase/logo/60e811138d679.png,,[],"https://twitter.com/Token_Sniffer/status/1381346761566916614, https://cryptot3ddybear.gitlab.io/blog/posts/scam-explained-bsc-stealthy-lp-block/",,,,,,0,0,[],,1,,,,,,,,,"{'id': 10, 'type': 'Rugpull'}",{},"[{'networks_id': 56, 'scam_database_id': 390, 'networks': {'id': 56, 'name': 'Binance', 'icon_link': 'safe/files/network/bsc.png'}}]",[]
389,Virus,Virus,"<p>A review of the token contract shows low network activity, which didn't lead to significant funds loss for the user in the past. The project is considered abandoned.</p><p><br></p>",Token,VIRUS,,,0x980287db1cffb546fb2911a2e920336d76bd404b,[],safe/files/scamDatabase/logo/60e6fddd514f0.png,,[],https://twitter.com/Token_Sniffer/status/1401245620908609536,,,,,,0,0,[],,1,,,,,,,,,"{'id': 10, 'type': 'Rugpull'}",{},"[{'networks_id': 56, 'scam_database_id': 389, 'networks': {'id': 56, 'name': 'Binance', 'icon_link': 'safe/files/network/bsc.png'}}]",[]
